Date,BA,BRKB,GS,JNJ,JPM,KO,MCD,PFE,WMT,XOM,LLY,V,CAT,BAC,GE,PG,ABBV,HD,PM,MRK
Jan-20,-0.135608131,-0.080604197,-0.155541535,-0.096661517,-0.12277123,-0.084075342,-0.092536337,-0.102578629,-0.059481697,-0.171925306,-0.096748798,-0.086495485,-0.054130247,-0.131891611,-0.126104428,-0.091397843,0.057886974,-0.044980313,-0.010036206,-0.103932576
Feb-20,-0.457889571,-0.11393816,-0.230014444,-0.024910767,-0.22461459,-0.172742569,-0.148426636,-0.023339278,0.05516396,-0.261858476,0.099817682,-0.113556338,-0.066001264,-0.255087735,-0.270220558,-0.028526038,-0.111072182,-0.142903003,-0.108831115,0.004963416
Mar-20,-0.054445487,0.024777115,0.186493305,0.144208038,0.063645452,0.037062147,0.134321137,0.17524587,0.069793784,0.223860943,0.114763538,0.109235394,0.002929993,0.132830888,-0.143576861,0.07154548,0.078881668,0.17738736,0.022478062,0.031193149
Apr-20,0.034250461,-0.009500427,0.071257224,-0.008597707,0.016186299,0.01721508,-0.006611218,-0.004433029,0.02064848,-0.02151926,-0.010928624,0.092435117,0.032222032,0.00291067,-0.033823525,-0.016543688,0.127372282,0.130327952,-0.016621956,0.017393515
May-20,0.256770655,-0.038096778,0.005750929,-0.054588235,-0.033398417,-0.042844901,-0.009929154,-0.143753695,-0.034498185,-0.016494392,0.073422661,-0.010602373,0.053025913,-0.015340001,0.039573836,0.031487246,0.059458317,0.008169667,-0.044983684,-0.041997035
Jun-20,-0.138025095,0.09674528,0.001720474,0.036478703,0.0274293,0.057296329,0.053179379,0.176756565,0.080312977,-0.059033989,-0.084602266,-0.014339723,0.050434821,0.047578912,-0.111273803,0.096596098,-0.033306138,0.059797996,0.096345993,0.037630939
Jul-20,0.087468354,0.11369905,0.034906042,0.052483535,0.036734272,0.048475868,0.099032324,-0.017931798,0.0730301,-0.050855513,-0.012642185,0.113392922,0.070966228,0.034565942,0.044481057,0.054987851,0.009061142,0.073637497,0.038797077,0.06268688
Aug-20,-0.03817949,-0.023390204,-0.019036462,-0.029528714,-0.039125661,-0.003230365,0.02795991,-0.028841806,0.007633489,-0.140460691,-0.002493397,-0.056700806,0.048064061,-0.06410255,-0.017350132,0.004771226,-0.085412975,-0.025715748,-0.060157952,-0.027207657
Sept-20,-0.126285853,-0.05184559,-0.059362094,-0.079056959,0.01838579,-0.026534333,-0.029568545,-0.033242502,-0.008291842,-0.049810661,-0.118632597,-0.091313669,0.052966875,-0.016189265,0.191011214,-0.013598096,-0.02842788,-0.039609666,-0.05294041,-0.093309245
Oct-20,0.459311587,0.133779099,0.219741854,0.055211144,0.202366381,0.073657928,0.02084507,0.139049692,0.101190283,0.168914776,0.116434052,0.157613771,0.105316733,0.188185609,0.371967706,0.012910204,0.228907212,0.040118528,0.066601008,0.068873834
Nov-20,0.015898628,0.012930846,0.143681152,0.087779928,0.077960638,0.062790698,-0.013153054,-0.039154268,-0.056548759,0.081038552,0.159217325,0.039838314,0.048562752,0.076349419,0.060903666,0.001944295,0.024574485,-0.042500301,0.092937306,0.017539508
Dec-20,-0.092824442,-0.017251046,0.02828865,0.036535773,0.012591485,-0.121991247,-0.031410197,-0.024721543,-0.025390483,0.087821446,0.231757911,-0.116490633,0.004504956,-0.021774987,-0.011111088,-0.078553922,-0.043583743,0.019576885,-0.037927278,-0.057823964
Jan-21,0.091765796,0.055470224,0.178153926,-0.028627475,0.143778659,0.017445483,-0.008179369,-0.067130919,-0.075236763,0.212533452,-0.014809837,0.099042688,0.180704491,0.170657657,0.174157336,-0.036502673,0.051327033,-0.046082308,0.054864972,-0.057739745
Feb-21,0.201452762,0.062201156,0.02353825,0.037170264,0.034382007,0.075933864,0.087319298,0.081815467,0.045490022,0.026853044,-0.088193626,-0.003107508,0.07406888,0.114664352,0.047049378,0.096332826,0.004455201,0.181582428,0.056177117,0.061553281
Mar-21,-0.080127198,0.076251615,0.06559633,-0.009857012,0.010379032,0.0240941,0.053270278,0.066795473,0.030037857,0.025255239,-0.021678637,0.103103019,-0.01621596,0.047557514,-0.000761521,-0.014841576,0.030308619,0.060344024,0.070543186,-0.033597102
Apr-21,0.054244377,0.052700491,0.067642416,0.040066368,0.067810936,0.024268247,-0.009276516,0.002069858,0.015153464,0.01974144,0.09284894,-0.026802511,0.056858538,0.045891948,0.071646256,0.010718093,0.015246609,-0.014706366,0.015052635,0.018657773
May-21,-0.030199984,-0.039800995,0.020187087,-0.026646972,-0.052971262,-0.021342015,-0.012398991,0.011102505,-0.007111943,0.080692136,0.149093812,0.028684576,-0.097270602,-0.027364941,-0.04267422,0.000593152,-0.004946975,-0.000062679,0.027792184,0.07396172
Jun-21,-0.0546001,0.001331318,-0.012251996,0.045283477,-0.024173846,0.053964147,0.050738127,0.093207354,0.010849633,-0.087349398,0.060909705,0.053759266,-0.049993129,-0.069609483,-0.037890036,0.054102153,0.03249293,0.029163622,0.00988796,-0.011572508
Jul-21,-0.030819498,0.026878436,0.103046308,0.005400697,0.053827909,-0.012624934,-0.021630753,0.076150432,0.03893409,-0.052978982,0.060739255,-0.070173275,0.019927425,0.088373288,0.017471075,0.001124964,0.038521028,-0.006124531,0.029073871,-0.00754523
Aug-21,0.002004556,-0.044896245,-0.085802036,-0.067174955,0.023382307,-0.068193926,0.01537101,-0.066420664,-0.058880368,0.078870139,-0.10546287,-0.02771718,-0.089628654,0.016766485,-0.022578507,-0.018189454,-0.106888526,0.0063769,-0.079708729,-0.0154673
Sept-21,-0.058697827,0.051549791,0.093431738,0.008544892,0.037876474,0.074328188,0.018414831,0.016972797,0.072034783,0.096055763,0.102618443,-0.04929291,0.062718098,0.125559433,0.017858813,0.022818329,0.063038799,0.132455917,-0.002637409,0.172280686
Oct-21,-0.0443414,-0.035956935,-0.078287166,-0.04266945,-0.065100948,-0.069540536,-0.003868866,0.228395062,-0.058828017,-0.071816349,-0.026377773,-0.084997873,-0.052252285,-0.069275798,-0.094211888,0.011119633,0.005319618,0.077661796,-0.09096677,-0.149233378
Nov-21,0.017538539,0.080631754,0.004094596,0.09709485,-0.003022099,0.128884652,0.095952576,0.099013586,0.028869661,0.02256016,0.113610743,0.118387789,0.069252645,0.000449752,-0.00547423,0.131415132,0.174531535,0.035945246,0.105422356,0.023094322
Dec-21,-0.005364594,0.046889632,-0.072853222,0.007131584,-0.061572466,0.03040027,-0.03215578,-0.107705334,-0.033726246,0.24137931,-0.111613937,0.043652767,-0.025055663,0.037086933,0.000105841,-0.019134398,0.011004472,-0.115732145,0.082631563,0.063152453
Jan-22,0.025469437,0.026931187,-0.03775234,-0.044808172,-0.045760431,0.020160629,-0.05658123,-0.109128867,-0.033259733,0.032385466,0.018582654,-0.044435615,-0.069358979,-0.042045918,0.010901795,-0.028420054,0.07947991,-0.139380955,-0.017306746,-0.060137473
